nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
10,1,0,X5,1000,10,3.4033470153808594,0,['X9'],9,11.42009449005127,0,['X6'],10,57.52595806121826,1,['X5'],10,84.40350341796875,1,['X5'],41,48.37918472290039,1,['X5'],3,1.0178918838500977,1,['X5'],10,573.3290119171143,1,['X5'],10,357.81550884246826,1,['X5']
10,1,1,X5,1000,10,3.6222496032714844,0,['X9'],9,10.721000671386719,0,['X4'],10,57.495405197143555,1,['X5'],10,83.07307052612305,1,['X5'],422,203.34766006469727,1,['X5'],3,1.019287109375,1,['X5'],10,561.6421508789062,1,['X5'],10,535.4776372909546,1,['X5']
10,1,2,X8,1000,10,3.565288543701172,1,['X8'],9,8.020212173461914,0,['X7'],10,38.26152801513672,1,['X8'],10,55.96826648712158,1,['X8'],21,16.71646213531494,1,['X8'],3,0.6718997955322266,1,['X8'],10,316.9150924682617,1,['X8'],10,413.11040687561035,1,['X8']
10,1,3,X8,1000,10,3.5813398361206055,0,['X9'],9,10.963417053222656,0,['X5'],10,57.500221252441406,1,['X8'],10,83.83806133270264,1,['X8'],384,194.5547685623169,1,['X8'],3,0.9513893127441406,1,['X8'],10,458.0317049026489,1,['X8'],10,442.2200288772583,1,['X8']
10,1,4,X7,1000,10,3.232454299926758,0,['X9'],9,10.938932418823242,0,['X9'],10,57.49423122406006,0,['X9'],10,83.04520797729492,0,['X9'],299,176.6107358932495,0,['X9'],3,0.9193210601806641,0,['dummy_sink'],10,268.58803272247314,0,['X9'],10,269.2321147918701,0,['X9']
10,1,5,X3,1000,10,3.569504737854004,0,['X9'],9,8.035428047180176,0,['X2'],10,38.27272319793701,0,['X2'],10,57.986618995666504,0,['X2'],37,37.23116588592529,0,['X2'],3,1.0347919464111328,0,['dummy_sink'],10,479.2643938064575,0,['X2'],10,332.1876811981201,1,['X3']
10,1,6,X9,1000,10,3.625856399536133,0,['X8'],9,10.85758113861084,0,['X3'],10,57.50400352478027,1,['X9'],10,61.22531986236572,1,['X9'],42,28.98362445831299,1,['X9'],4,0.9403848648071289,1,['X9'],10,378.1769275665283,1,['X9'],10,339.24884510040283,1,['X9']
10,1,7,X4,1000,10,3.0083751678466797,0,['X8'],9,10.830853462219238,0,['X1'],10,57.50378704071045,1,['X4'],10,83.02816200256348,1,['X4'],530,264.10851860046387,1,['X4'],3,1.0019969940185547,1,['X4'],10,524.1511840820312,1,['X4'],10,503.67157459259033,1,['X4']
10,1,8,X3,1000,10,3.6605091094970703,0,['X9'],9,10.599523544311523,0,['X0'],10,57.46768856048584,1,['X3'],10,83.07301235198975,1,['X3'],25,33.36254405975342,1,['X3'],3,0.9887332916259766,0,['X9'],10,514.183482170105,1,['X3'],10,441.3797960281372,1,['X3']
10,1,9,X5,1000,10,3.000438690185547,0,['X9'],9,10.832014083862305,0,['X2'],10,57.499385833740234,1,['X5'],10,83.02742767333984,1,['X5'],38,46.29030227661133,1,['X5'],3,1.0454216003417969,0,['dummy_sink'],10,463.58923721313477,1,['X5'],10,420.4589681625366,1,['X5']
